Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,BodyGesture,UtteranceContent,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Gaze,HandGesture,HeadMovement,Severeness
01:46.0,105.97,105970,00:01:45:24,02:08.4,128.42,128420,00:02:08:10,00:22.5,22.45,22450,00:00:22:11,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks down,None,None,
02:08.4,128.42,128420,00:02:08:10,02:19.0,139,139000,00:02:19:00,00:10.6,10.58,10580,00:00:10:14,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
02:19.0,139,139000,00:02:19:00,02:21.5,141.48,141480,00:02:21:12,00:02.5,2.48,2480,00:00:02:12,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),Participant touches their glasses,None,
02:21.5,141.48,141480,00:02:21:12,02:31.5,151.53,151530,00:02:31:13,00:10.0,10.05,10050,00:00:10:01,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
02:31.5,151.53,151530,00:02:31:13,02:34.4,154.38,154380,00:02:34:09,00:02.9,2.85,2850,00:00:02:21,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
02:34.4,154.39,154390,00:02:34:09,02:37.1,157.08,157080,00:02:37:02,00:02.7,2.69,2690,00:00:02:17,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),Participant touches their arms,None,
02:37.1,157.08,157080,00:02:37:02,02:45.3,165.29,165290,00:02:45:07,00:08.2,8.21,8210,00:00:08:05,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
02:45.3,165.29,165290,00:02:45:07,02:46.3,166.26,166260,00:02:46:06,00:01.0,0.97,970,00:00:00:24,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
02:46.3,166.26,166260,00:02:46:06,02:47.3,167.34,167340,00:02:47:08,00:01.1,1.08,1080,00:00:01:02,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
02:47.3,167.34,167340,00:02:47:08,02:49.7,169.73,169730,00:02:49:18,00:02.4,2.39,2390,00:00:02:09,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (right),None,None,
02:49.7,169.73,169730,00:02:49:18,02:50.9,170.87,170870,00:02:50:21,00:01.1,1.14,1140,00:00:01:03,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks to the side (right),None,None,
02:50.9,170.91,170910,00:02:50:22,02:55.4,175.41,175410,00:02:55:10,00:04.5,4.5,4500,00:00:04:12,0,0,Participant moves in the chair,None,1,Happy,0,1,0,0,0,0,0,None,Participant looks to the side (right),Participant touches their arms,None,
02:55.4,175.41,175410,00:02:55:10,02:57.5,177.54,177540,00:02:57:13,00:02.1,2.13,2130,00:00:02:03,0,0,Participant moves in the chair,None,1,Happy,0,1,0,0,0,0,0,None,Participant looks to the side (right),None,None,
02:57.5,177.55,177550,00:02:57:13,03:12.3,192.28,192280,00:03:12:07,00:14.7,14.73,14730,00:00:14:18,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (right),None,None,
03:12.3,192.28,192280,00:03:12:07,03:14.1,194.07,194070,00:03:14:01,00:01.8,1.79,1790,00:00:01:19,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks to the side (right),None,None,
03:14.1,194.07,194070,00:03:14:01,03:15.7,195.7,195700,00:03:15:17,00:01.6,1.63,1630,00:00:01:15,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks to the side (right),None,None,
03:15.7,195.7,195700,00:03:15:17,03:24.9,204.9,204900,00:03:24:22,00:09.2,9.2,9200,00:00:09:05,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
03:24.9,204.9,204900,00:03:24:22,03:30.6,210.59,210590,00:03:30:14,00:05.7,5.69,5690,00:00:05:17,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
03:30.6,210.59,210590,00:03:30:14,03:31.6,211.62,211620,00:03:31:15,00:01.0,1.03,1030,00:00:01:00,1,1,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,1,,0,None,Participant looks at the camera,None,None,Mild
03:31.6,211.62,211620,00:03:31:15,03:31.9,211.91,211910,00:03:31:22,00:00.3,0.29,290,00:00:00:07,1,1,Participant moves in the chair,None,0,Thoughtful,1,0,0,0,1,,0,None,Participant looks at the camera,None,None,Mild
03:31.9,211.91,211910,00:03:31:22,03:34.5,214.53,214530,00:03:34:13,00:02.6,2.62,2620,00:00:02:15,1,1,Participant moves in the chair,None,0,Thoughtful,1,0,0,0,1,,0,None,Participant looks at the ceiling,None,None,Mild
03:34.5,214.54,214540,00:03:34:13,03:39.3,219.34,219340,00:03:39:08,00:04.8,4.8,4800,00:00:04:20,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the ceiling,None,None,
03:39.3,219.35,219350,00:03:39:08,03:40.1,220.05,220050,00:03:40:01,00:00.7,0.7,700,00:00:00:17,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
03:40.1,220.05,220050,00:03:40:01,03:44.1,224.09,224090,00:03:44:02,00:04.0,4.04,4040,00:00:04:01,0,0,Participant moves in the chair,None,1,Happy,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
03:44.1,224.09,224090,00:03:44:02,03:53.1,233.14,233140,00:03:53:03,00:09.0,9.05,9050,00:00:09:01,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
03:53.1,233.14,233140,00:03:53:03,03:58.7,238.67,238670,00:03:58:16,00:05.5,5.53,5530,00:00:05:13,1,1,Participant moves in the chair,None,0,Neutral,0,0,0,0,,1,0,None,Participant looks at the robot,Participant moves their fingers,None,Mild
03:58.7,238.68,238680,00:03:58:17,04:01.9,241.95,241950,00:04:01:23,00:03.3,3.27,3270,00:00:03:06,1,0,Participant touches their hands,None,1,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,Mild
04:01.9,241.95,241950,00:04:01:23,04:10.3,250.34,250340,00:04:10:08,00:08.4,8.39,8390,00:00:08:09,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
04:10.3,250.34,250340,00:04:10:08,04:12.0,252.01,252010,00:04:12:00,00:01.7,1.67,1670,00:00:01:16,1,0,Participant moves in the chair,None,1,Happy,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,Mild
04:12.0,252.02,252020,00:04:12:00,04:20.0,260.05,260050,00:04:20:01,00:08.0,8.03,8030,00:00:08:00,0,0,Participant moves in the chair,None,1,Happy,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
04:20.0,260.05,260050,00:04:20:01,04:21.1,261.07,261070,00:04:21:01,00:01.0,1.02,1020,00:00:01:00,0,0,Participant moves in the chair,None,1,Happy,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
04:21.1,261.07,261070,00:04:21:01,04:21.9,261.9,261900,00:04:21:22,00:00.8,0.83,830,00:00:00:20,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
04:21.9,261.9,261900,00:04:21:22,04:30.9,270.91,270910,00:04:30:22,00:09.0,9.01,9010,00:00:09:00,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
04:30.9,270.91,270910,00:04:30:22,04:41.5,281.49,281490,00:04:41:12,00:10.6,10.58,10580,00:00:10:14,1,0,Participant moves in the chair,None,1,Happy,0,1,0,0,0,0,0,None,Participant looks at the robot,Participant rubs their hands,Participant tilts their head to the side,Mild
04:41.5,281.49,281490,00:04:41:12,04:45.5,285.5,285500,00:04:45:12,00:04.0,4.01,4010,00:00:04:00,1,1,Participant slightly moves in the chair,None,0,Confused,0,0,0,0,1,0,0,None,Participant looks at the robot,Participant rubs their hands,None,Mild
04:45.5,285.5,285500,00:04:45:12,04:49.1,289.1,289100,00:04:49:02,00:03.6,3.6,3600,00:00:03:15,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
04:49.1,289.1,289100,00:04:49:02,04:53.4,293.36,293360,00:04:53:09,00:04.3,4.26,4260,00:00:04:06,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
04:53.4,293.36,293360,00:04:53:09,04:58.4,298.35,298350,00:04:58:08,00:05.0,4.99,4990,00:00:04:24,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks down,None,None,
04:58.4,298.36,298360,00:04:58:09,05:00.4,300.42,300420,00:05:00:10,00:02.1,2.06,2060,00:00:02:01,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
05:00.4,300.42,300420,00:05:00:10,05:15.9,315.86,315860,00:05:15:21,00:15.4,15.44,15440,00:00:15:11,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
05:15.9,315.86,315860,00:05:15:21,05:21.8,321.8,321800,00:05:21:20,00:05.9,5.94,5940,00:00:05:23,1,0,Participant slightly moves in the chair,None,,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the robot,Participant touches their glasses,None,Mild
05:21.8,321.8,321800,00:05:21:20,05:34.5,334.51,334510,00:05:34:12,00:12.7,12.71,12710,00:00:12:17,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
05:34.5,334.51,334510,00:05:34:12,05:37.1,337.09,337090,00:05:37:02,00:02.6,2.58,2580,00:00:02:14,0,0,Participant moves in the chair,None,0,Neutral,1,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
05:37.1,337.1,337100,00:05:37:02,05:41.4,341.42,341420,00:05:41:10,00:04.3,4.32,4320,00:00:04:08,0,0,Participant moves in the in the chair,None,1,Happy,0,1,0,0,0,0,0,None,Participant looks at the robot,None,None,
05:41.4,341.42,341420,00:05:41:10,06:07.0,367.03,367030,00:06:07:00,00:25.6,25.61,25610,00:00:25:15,1,0,Participant slightly moves in chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the robot,Participant rubs their hands,None,Mild
06:07.0,367.03,367030,00:06:07:00,06:14.6,374.6,374600,00:06:14:15,00:07.6,7.57,7570,00:00:07:14,1,0,Participant prepares to leave the session,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant prepares to leave the session,Participant rubs their hands,Participant prepares to leave the session,Mild
06:14.6,374.6,374600,00:06:14:15,06:19.8,379.78,379780,00:06:19:19,00:05.2,5.18,5180,00:00:05:04,0,0,Participant prepares to leave the session,None,0,Neutral,0,0,0,0,0,0,0,None,Participant prepares to leave the session,None,Participant prepares to leave the session,
06:19.8,379.78,379780,00:06:19:19,06:22.4,382.39,382390,00:06:22:09,00:02.6,2.61,2610,00:00:02:15,0,0,Participant prepares to leave the session,None,1,Neutral,0,0,0,0,0,0,0,None,Participant prepares to leave the session,None,Participant prepares to leave the session,
06:22.4,382.39,382390,00:06:22:09,06:31.0,391,391000,00:06:31:00,00:08.6,8.61,8610,00:00:08:15,0,0,Participant prepares to leave the session,None,0,Neutral,0,0,0,0,0,0,0,None,Participant prepares to leave the session,None,Participant prepares to leave the session,
