Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,BodyGesture,UtteranceContent,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Gaze,HandGesture,HeadMovement,Severeness
04:16.7,256.7,256700,00:04:16:17,04:18.4,258.36,258360,00:04:18:09,00:01.7,1.66,1660,00:00:01:16,1,1,,,0,Thoughtful,1,0,0,1,1,0,0,"It looks like participant was still concluding their response when the robot said ""Okay"".",Participant looks at the robot,Participant holds their hands together,,Mild
04:18.4,258.36,258360,00:04:18:09,04:42.5,282.53,282530,00:04:42:13,00:24.2,24.17,24170,00:00:24:04,0,0,,,0,,0,0,0,0,0,0,0,,,,,
04:42.5,282.53,282530,00:04:42:13,04:48.4,288.41,288410,00:04:48:10,00:05.9,5.88,5880,00:00:05:22,0,0,,Participant makes a joke,1,Happy,0,1,0,0,0,0,0,,Participant looks at the ceiling,,,
04:48.4,288.41,288410,00:04:48:10,05:11.5,311.5,311500,00:05:11:12,00:23.1,23.09,23090,00:00:23:02,0,0,,,0,,0,0,0,0,0,0,0,,,,,
05:11.5,311.5,311500,00:05:11:12,05:18.6,318.62,318620,00:05:18:15,00:07.1,7.12,7120,00:00:07:03,1,0,Participant slightly moves in chair,Participant finds it difficult to answer the previous question,1,Happy,0,1,0,0,0,0,0,,Participant looks at the ceiling,Participant holds their hands together,,Mild
05:18.6,318.64,318640,00:05:18:16,05:19.9,319.85,319850,00:05:19:21,00:01.2,1.21,1210,00:00:01:05,1,0,Participant slightly moves in chair,,1,Happy,0,1,0,1,0,0,0,,Participant looks at the ceiling,Participant holds their hands together,Participant moves their head down,Mild
05:19.9,319.85,319850,00:05:19:21,05:20.8,320.81,320810,00:05:20:20,00:01.0,0.96,960,00:00:00:24,1,1,Participant slightly moves in chair,,1,Happy,0,1,0,1,1,0,0,The robot interrupts while the participant was still thinking,Participant looks at the ceiling,Participant holds their hands together,Participant moves their head down,Mild
05:20.8,320.81,320810,00:05:20:20,05:22.9,322.95,322950,00:05:22:23,00:02.1,2.14,2140,00:00:02:03,1,1,Participant slightly moves in chair,,1,Happy,0,1,0,0,1,0,0,The robot interrupts while the participant was still thinking,Participant looks at the ceiling,Participant holds their hands together,Participant moves their head down,Mild
05:22.9,322.95,322950,00:05:22:23,05:24.8,324.81,324810,00:05:24:20,00:01.9,1.86,1860,00:00:01:21,1,0,Participant slightly moves in chair,,1,Happy,0,1,0,0,0,0,0,,Participant looks at the ceiling,Participant holds their hands together,Participant moves their head down,Mild
05:24.8,324.81,324810,00:05:24:20,05:27.8,327.83,327830,00:05:27:20,00:03.0,3.02,3020,00:00:03:00,1,0,Participant slightly moves in chair,,1,Happy,0,1,0,0,0,0,0,,,,,Mild
05:27.8,327.83,327830,00:05:27:20,07:12.0,432,432000,00:07:12:00,01:44.2,104.17,104170,00:01:44:04,0,0,,,0,,0,0,0,0,0,0,0,,,,,
