"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - msec","Duration - PAL","UserAwkwardness","RobotMistake","BodyGesture","UtteranceContent","Smile","FacialExpression","Pauses","Laughter","Nod(Yes)","HeadShake(No)","RobotInterruption","RobotNonResponding","RobotInappropriateResponse","Other","Gaze","HandGesture","HeadMovement","Severeness"
00:02:39.190,159.19,159190,00:02:39:04,00:02:39.350,159.35,159350,00:02:39:08,00:00:00.160,0.16,160,00:00:00:04,"0","1",,,"0","Neutral","0","0","0","0","0","1","0","None",,,,
00:02:39.350,159.35,159350,00:02:39:08,00:02:41.940,161.94,161940,00:02:41:23,00:00:02.590,2.59,2590,00:00:02:14,"0","1",,,"1","Neutral","0","0","0","0","0","1","0","None",,,,
00:02:41.940,161.94,161940,00:02:41:23,00:02:43.410,163.41,163410,00:02:43:10,00:00:01.470,1.47,1470,00:00:01:11,"0","1",,,"0","Neutral","0","0","0","0","0","1","0","None",,,,
00:02:43.410,163.41,163410,00:02:43:10,00:02:51.710,171.71,171710,00:02:51:17,00:00:08.300,8.3,8300,00:00:08:07,"0","0",,,"0","Neutral","0","0","0","0","0",,"0","None",,,,
00:02:51.710,171.71,171710,00:02:51:17,00:02:55.020,175.02,175020,00:02:55:00,00:00:03.310,3.31,3310,00:00:03:07,"0","0",,,"1","Neutral","0","1","0","0","0",,"0","None",,,,
00:02:55.020,175.02,175020,00:02:55:00,00:02:58.640,178.64,178640,00:02:58:16,00:00:03.620,3.62,3620,00:00:03:15,"1","1",,,"0","Neutral","0","0","0","0","0","1","0","None","Participant looks at the robot","Participant holds their hands together",,"Mild"
00:02:58.640,178.64,178640,00:02:58:16,00:03:18.210,198.21,198210,00:03:18:05,00:00:19.570,19.57,19570,00:00:19:14,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:03:18.210,198.21,198210,00:03:18:05,00:03:21.710,201.71,201710,00:03:21:17,00:00:03.500,3.5,3500,00:00:03:12,"0","0",,,"1","Neutral","0","1","0","0","0","0","0","None",,,,
00:03:21.710,201.71,201710,00:03:21:17,00:03:33.740,213.74,213740,00:03:33:18,00:00:12.030,12.03,12030,00:00:12:00,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:03:33.740,213.74,213740,00:03:33:18,00:03:36.960,216.96,216960,00:03:36:24,00:00:03.220,3.22,3220,00:00:03:05,"0","0",,,"1","Neutral","0","1","0","0","0","0","0","None",,,,
00:03:36.960,216.96,216960,00:03:36:24,00:03:43.280,223.28,223280,00:03:43:07,00:00:06.320,6.32,6320,00:00:06:08,"1","1","Participant slightly moves in chair",,"1","Thoughtful","0","0","0","0","0","1","0","None","Participant looks at the robot","Participant holds their hands together",,"Mild"
00:03:43.280,223.28,223280,00:03:43:07,00:03:51.230,231.23,231230,00:03:51:05,00:00:07.950,7.95,7950,00:00:07:23,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:03:51.230,231.23,231230,00:03:51:05,00:03:55.280,235.28,235280,00:03:55:07,00:00:04.050,4.05,4050,00:00:04:01,"1","1","Participant slightly moves in chair",,"1","Happy","0","1","0","0","1","0","0","Listening behavior ""aha"" was a little bit sudden and interruptive","Participant looks at the robot","Participant holds their hands together",,"Mild"
00:03:55.280,235.28,235280,00:03:55:07,00:04:04.730,244.73,244730,00:04:04:18,00:00:09.450,9.45,9450,00:00:09:11,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:04:04.730,244.73,244730,00:04:04:18,00:04:14.200,254.2,254200,00:04:14:05,00:00:09.470,9.47,9470,00:00:09:11,"1","1",,,"0","Neutral","0","0","0","0","0","1","0","None","Participant looks at the robot","Participant holds their hands together",,"Mild"
00:04:14.200,254.2,254200,00:04:14:05,00:04:39.410,279.41,279410,00:04:39:10,00:00:25.210,25.21,25210,00:00:25:05,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:04:39.410,279.41,279410,00:04:39:10,00:04:41.470,281.47,281470,00:04:41:11,00:00:02.060,2.06,2060,00:00:02:01,"0","0",,,"1","Neutral","0","1","0","0","0","0","0","None",,,,
00:04:41.470,281.47,281470,00:04:41:11,00:04:47.030,287.03,287030,00:04:47:00,00:00:05.560,5.56,5560,00:00:05:14,"1","1","Participant slightly moves in chair",,"1","Neutral","0","0","0","0","0","1","0","None","Participant looks at the robot","Participant holds their hands together",,"Mild"
00:04:47.030,287.03,287030,00:04:47:00,00:05:23.810,323.81,323810,00:05:23:20,00:00:36.780,36.78,36780,00:00:36:19,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:05:23.810,323.81,323810,00:05:23:20,00:05:26.630,326.63,326630,00:05:26:15,00:00:02.820,2.82,2820,00:00:02:20,"0","0","Participant is filling the survey",,"1","Neutral","0","0","0","0","0","0","0",,"Participant looks at the robot","Participant is filling the survey","Participant looks up to see the robot",
00:05:26.630,326.63,326630,00:05:26:15,00:05:31.000,331.0,331000,00:05:31:00,00:00:04.370,4.37,4370,00:00:04:09,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
